module,slot,locator,source,correction,disposition,confidence
m49390,585,/document[1]/content[1]/section[7]/section[1]/exercise[1]/solution[1]/media[1]/@alt,Maximums as -pi and pi,Maximums at -pi and pi,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49390,646,/document[1]/content[1]/section[7]/section[2]/exercise[16]/problem[1]/figure[1]/media[1]/@alt,consine,cosine,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49390,738,/document[1]/content[1]/section[8]/exercise[27]/solution[1]/media[1]/@alt,sinusodial,sinusoidal,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49393,18,/document[1]/content[1]/section[1]/para[3]/link[1]/tail(),the first of these identifies,the first of these identities,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49393,233,/document[1]/content[1]/section[3]/table[1]/@summary,..,"Four rows and two columns. The table lists Pythagorean, even-odd, reciprocal, and quotient identities with their equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,high
m49396,58,/document[1]/content[1]/section[1]/example[1]/exercise[1]/solution[1]/list[1]/item[1]/para[1]/text(),We see that we to need to find,We see that we need to find,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49396,101,/document[1]/content[1]/section[2]/example[2]/exercise[1]/commentary[1]/para[1]/text(),if we had chosen the left side to rewrite,if we had chosen the right side to rewrite,correct the internal left/right contradiction upstream; translate the intended reasoning,high
m49396,165,/document[1]/content[1]/section[4]/example[1]/exercise[1]/commentary[1]/para[1]/math[1]/mrow[1]/msup[1]/mtext[1]/text(),o,°,replace the letter o used as a degree mark in source MathML mtext; helper target preserves the reported source token,high
m49396,220,/document[1]/content[1]/section[4]/example[3]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,rad34. Rad 34,sqrt(34). The square root of 34,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49396,233,/document[1]/content[1]/section[5]/table[1]/@summary,..,"Three rows and two columns. The table lists double-angle, power-reducing, and half-angle formulas with their equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,high
m49397,102,/document[1]/content[1]/section[3]/table[1]/@summary,..,Two rows and two columns. The table lists product-to-sum and sum-to-product formulas with their equations.,replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,high
m49397,70,/document[1]/content[1]/section[2]/equation[2]/math[1]/mrow[1]/mtable[1]/mtr[2]/mtd[3]/mrow[1]/mtext[1]/text(),Substitute for,Substitute u for,complete the missing substitution variable in source MathML mtext; helper target preserves the reported source equation annotation,high
m49397,71,/document[1]/content[1]/section[2]/equation[2]/math[1]/mrow[1]/mtable[1]/mtr[2]/mtd[3]/mrow[1]/mtext[2]/text(), and , and v for ,complete the second missing substitution variable in source MathML mtext; helper target preserves the reported source equation annotation,high
m49397,112,/document[1]/content[1]/section[4]/list[1]/item[4]/text(),or products sine and cosine,as products of sines and cosines,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49397,145,/document[1]/content[1]/section[5]/section[4]/exercise[2]/solution[1]/para[1]/text(),It is and identity.,It is an identity.,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49398,16,/document[1]/content[1]/para[2]/text(),such as the finding the dimensions,such as finding the dimensions,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49398,102,/document[1]/content[1]/section[3]/para[1]/text(),Not all functions can be solved exactly,Not all equations can be solved exactly,correct the mathematical object upstream; Indonesian target renders the intended equation meaning,high
m49398,294,/document[1]/content[1]/section[7]/example[1]/exercise[1]/problem[1]/figure[1]/media[1]/@alt,23 feet,23 meters,correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,high
m49399,50,/document[1]/content[1]/section[1]/example[1]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,shifted it on the x-axis by pi/2,shifted it on the x-axis by pi/8,correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,high
m49399,122,/document[1]/content[1]/section[2]/table[1]/@summary,"(i/2, 0)","(pi/2, 0)",correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,high
m49399,211,/document[1]/content[1]/section[3]/example[2]/exercise[1]/solution[1]/table[1]/@summary,"(6 PM, 78 in, (6,8))","(6 PM, 78 in, (6,78))",correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,high
m49399,284,/document[1]/content[1]/section[4]/section[1]/para[1]/term[1]/tail(),"spring, When",spring. When,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49399,459,/document[1]/content[1]/section[4]/section[3]/example[1]/exercise[1]/solution[1]/figure[2]/media[1]/@alt,bonding function,bounding function,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49399,471,/document[1]/content[1]/section[5]/table[1]/@summary,..,"Three rows and two columns. The table lists the standard sinusoidal equation, simple harmonic motion equations, and damped harmonic motion equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,high
