proposal_id,source_term,preferred_id,variants,rejected,modules,register,confidence,status,evidence,rationale,owner_contract_match
HP-A30-003-TERM-017,sum formula,rumus jumlah,,,m49395;m49396,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json,Pairs consistently with rumus selisih.,
HP-A30-003-TERM-018,difference formula,rumus selisih,,,m49395;m49397,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json,The operation is subtraction; selisih is more precise than perbedaan.,
HP-A30-003-TERM-019,Pythagorean identities,identitas Pythagoras,,,m49393;m49395;m49396,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; qa/agent_c/terminology_proposals.json,Standard name for the family of trigonometric identities.,
HP-A30-003-TERM-020,cofunction,kofungsi,,,m49395,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json,Productive Indonesian mathematical compound.,
HP-A30-003-TERM-021,cofunction identities,identitas kofungsi,,,m49395,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json,Consistent plural concept label.,
HP-A30-003-TERM-022,special angles,sudut istimewa,sudut khusus,,m49395;m49398,pedagogical formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49398 slot 102,Established Indonesian school-mathematics term.,
HP-A30-003-TERM-023,guy-wire,kawat penyangga,kawat penahan,,m49395,technical,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json,Describes the structural support cable rather than a literal person.,
HP-A30-003-TERM-024,inverse trigonometric function,fungsi trigonometri invers,,,m49390,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,Invers distinguishes a functional inverse from a reciprocal.,
HP-A30-003-TERM-025,inverse sine,sinus invers,,,m49390;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv; m49398 calculator-solving prose,Stable concise name for the restricted-domain inverse function.,
HP-A30-003-TERM-026,inverse cosine,kosinus invers,,,m49390;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv; m49398 calculator-solving prose,Stable concise name for the restricted-domain inverse function.,
HP-A30-003-TERM-027,inverse tangent,tangen invers,,,m49390;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv; m49398 calculator-solving prose,Stable concise name for the restricted-domain inverse function.,
HP-A30-003-TERM-028,arcsine,arkus sinus,arcsin,,m49390,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,"Alternate arc-function name, kept distinct from reciprocal terminology.",
HP-A30-003-TERM-029,arccosine,arkus kosinus,arccos,,m49390,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,"Alternate arc-function name, kept distinct from reciprocal terminology.",
HP-A30-003-TERM-030,arctangent,arkus tangen,arctan,,m49390,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,"Alternate arc-function name, kept distinct from reciprocal terminology.",
HP-A30-003-TERM-031,reciprocal,resiprokal,kebalikan,,m49389;m49393;m49396,formal,high,already_accepted_in_owner_contract,qa/agent_b/terminology_proposals.csv; qa/agent_c/terminology_proposals.json,Prevents collision with functional inverse terminology.,PC2E-TERM-0100
HP-A30-003-TERM-032,reciprocal identities,identitas resiprokal,,,m49389;m49393;m49396;m49397,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv; qa/agent_c/terminology_proposals.json,"Names identities based on multiplicative reciprocals, not inverse functions.",
HP-A30-003-TERM-033,stretch factor,faktor peregangan,,,m49389;m49390,formal,high,already_accepted_in_owner_contract,qa/agent_b/terminology_proposals.csv,Matches established transformation terminology.,PC2E-TERM-0154
HP-A30-003-TERM-034,compression factor,faktor pemampatan,,,m49389;m49390,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,Natural counterpart to faktor peregangan.,
HP-A30-003-TERM-035,even-odd identities,identitas genap-ganjil,,,m49393,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json,Concise label for the parity identities.,
HP-A30-003-TERM-036,quotient identities,identitas hasil bagi,,,m49393,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json,Names the identities expressing tangent and cotangent as quotients.,
HP-A30-003-TERM-037,double-angle formulas,rumus sudut ganda,rumus sudut rangkap,,m49396;m49397,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json; m49396 recurring reader text,"Consistent natural label across titles, formulas, and proofs.",
HP-A30-003-TERM-038,power-reducing formulas,rumus penurunan pangkat,rumus reduksi|rumus pengurangan pangkat,,m49396,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json; m49396 slots 107-139,States that even powers of sine or cosine are reduced and avoids ambiguity with angle reduction.,
HP-A30-003-TERM-039,half-angle formulas,rumus setengah sudut,,,m49396,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json; m49396 slots 142-152,Direct and established description of the formulas.,
HP-A30-003-TERM-040,product-to-sum formulas,rumus hasil kali menjadi jumlah,,,m49397,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json,Preserves the direction of the identity transformation.,
HP-A30-003-TERM-041,sum-to-product formulas,rumus jumlah menjadi hasil kali,,,m49397,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json,Preserves the direction of the identity transformation.,
HP-A30-003-TERM-042,right triangle,segitiga siku-siku,,segitiga persegi panjang,m49393;m49396;m49398;m49399,formal,high,proposal_only_owner_decides,"qa/agent_c/terminology_proposals.json; m49398 slots 10, 285-318; m49399 slot 712",Standard Indonesian geometry term.,
HP-A30-003-TERM-043,right angle,sudut siku-siku,,sudut lurus,m49396;m49398;m49399,formal,high,proposal_only_owner_decides,qa/agent_c/terminology_proposals.json; m49398 accessibility descriptions,Standard Indonesian geometry term.,
HP-A30-003-TERM-044,trigonometric equation,persamaan trigonometri,,,m49392;m49398;m49399,formal,high,proposal_only_owner_decides,m49398 slots 1-27 and recurring section prose,Standard equation-solving term.,
HP-A30-003-TERM-045,solve a trigonometric equation,menyelesaikan persamaan trigonometri,,,m49398;m49399,formal,high,proposal_only_owner_decides,"m49398 title, objectives, and section titles; m49399 slot 721",Use the active verbal construction for instructional headings and objectives.,
HP-A30-003-TERM-046,multiple-angle trigonometric equation,persamaan trigonometri sudut kelipatan,,persamaan dengan berbagai sudut,m49398,formal,high,proposal_only_owner_decides,"m49398 slots 9, 233-283, and 349","Multiple angle means an integer multiple of an angle, not merely several unrelated angles.",
HP-A30-003-TERM-047,reference angle,sudut acuan,sudut referensi,,m49398,formal,high,proposal_only_owner_decides,m49398 slot 131 and calculator-solving context,Standard pedagogical label for the acute associated angle.,
HP-A30-003-TERM-048,angle of elevation,sudut elevasi,,,m49398,formal,high,proposal_only_owner_decides,"m49398 slots 15, 292, 297, 299, 400, and 401",Established surveying and trigonometry terminology.,
HP-A30-003-TERM-049,angle of depression,sudut depresi,,,m49398,formal,high,proposal_only_owner_decides,m49398 slots 15 and 397,Established surveying and trigonometry terminology.,
HP-A30-003-TERM-050,unit circle,lingkaran satuan,,lingkaran unit,m49398,formal,high,proposal_only_owner_decides,"m49398 slots 31, 65, 99, 102, and 283",Established Indonesian trigonometry terminology.,
HP-A30-003-TERM-051,periodic motion,gerak periodik,,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 276, 326, 484, and 491",Standard physics terminology for repeating motion.,
HP-A30-003-TERM-052,harmonic motion,gerak harmonik,,,m49399,formal,high,proposal_only_owner_decides,m49399 slots 275-280 and 489-497,Standard physics term for motion under a restoring force.,
HP-A30-003-TERM-053,simple harmonic motion,gerak harmonik sederhana,,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 281-288, 474, and 839-840",Standard Indonesian physics term.,
HP-A30-003-TERM-054,damped harmonic motion,gerak harmonik teredam,,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 325-440, 476, 491, and 837-838",Standard Indonesian physics term; teredam describes energy loss.,
HP-A30-003-TERM-055,damping factor,faktor redaman,,,m49399,formal,high,proposal_only_owner_decides,m49399 slots 326-343 and recurring model prose,Standard physics terminology for the energy-dissipating factor.,
HP-A30-003-TERM-056,damping constant,konstanta redaman,,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 357, 376-377, and 437-439",Names the constant controlling exponential amplitude decay.,
HP-A30-003-TERM-057,displacement,simpangan,,perpindahan,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 284, 288, 294-319, 333-345, and 567-588","For oscillations, simpangan is the physics quantity measured from equilibrium.",
HP-A30-003-TERM-058,restoring force,gaya pemulih,,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 280, 284, and 489",Standard mechanics term for force directed toward equilibrium.,
HP-A30-003-TERM-059,equilibrium,keseimbangan,titik keseimbangan,,m49399,formal,high,proposal_only_owner_decides,"m49399 slots 284, 326, and spring-system exercises",Standard physics term for the rest position of the system.,
HP-A30-003-TERM-060,bounding curves,kurva pembatas,,,m49399,formal,high,proposal_only_owner_decides,m49399 slots 447-463 and 497,Curves that bound an oscillatory graph above and below.,
HP-A30-003-TERM-061,bounding function,fungsi pembatas,kurva pembatas,,m49399,formal,high,proposal_only_owner_decides,m49399 slot 456,Names the function whose graph supplies a bounding curve.,
HP-A30-003-TERM-062,oscillation,osilasi,gerak berosilasi,,m49399,formal,high,proposal_only_owner_decides,m49399 harmonic-motion section and glossary,Standard physics term for repeated motion about equilibrium.,
HP-A30-003-TERM-063,frequency,frekuensi,,,m49387;m49389;m49399,formal,high,proposal_only_owner_decides,m49399 simple and damped harmonic-motion examples,Standard wave and oscillation term.,
HP-A30-003-TERM-064,sinusoidal model,model sinusoidal,,,m49399,formal,high,proposal_only_owner_decides,m49399 modeling sections and applications,Concise label for a model expressed with a sine or cosine function.,
HP-A30-003-TERM-065,varying amplitude,amplitudo yang berubah-ubah,amplitudo berubah,,m49399,formal,high,proposal_only_owner_decides,m49399 slots 448-450 and 463,Describes amplitude that rises and falls within a period.,
