issue_id,module_id,slot,locator,category,severity,status,source,high_confidence_correction,disposition,evidence
HP-A30-003-ISSUE-011,m49395,230,/document[1]/content[1]/section[4]/note[1]/table[1]/@summary,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"Three rows, two columns/","Three rows, two columns.",correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-012,m49395,305,/document[1]/content[1]/section[6]/table[1]/@summary,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,..,"Seven rows and two columns. The table lists the sum and difference formulas for cosine, sine, and tangent, followed by the cofunction identities.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-013,m49395,383,/document[1]/content[1]/section[8]/section[3]/exercise[11]/solution[1]/para[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"They are the different, try ",They are different; try ,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-014,m49395,389,/document[1]/content[1]/section[8]/section[3]/exercise[15]/solution[1]/para[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"They are the different, try ",They are different; try ,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-015,m49389,47,/document[1]/content[1]/section[1]/table[2]/@summary,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Th table,The table,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-016,m49389,61,/document[1]/content[1]/section[1]/table[3]/@summary,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Th table,The table,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-017,m49389,279,/document[1]/content[1]/section[3]/title[1]/emphasis[3]/tail(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,rendered heading: y = cscx,rendered heading: y = csc x,add typographic spacing upstream; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-018,m49389,441,/document[1]/content[1]/section[4]/example[1]/exercise[1]/solution[1]/list[1]/item[5]/emphasis[1]/tail(),source_mathematical_or_reference_issue,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,draw the cosecant function,draw the secant function,correct the mathematical function name upstream; Indonesian target renders the intended secant instruction,correction_observations.json
HP-A30-003-ISSUE-019,m49389,448,/document[1]/content[1]/section[4]/example[1]/exercise[1]/solution[1]/list[1]/item[6]/figure[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-020,m49389,453,/document[1]/content[1]/section[4]/note[4]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-021,m49389,542,/document[1]/content[1]/section[4]/note[10]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-022,m49389,587,/document[1]/content[1]/section[4]/note[12]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,consine,cosine,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-023,m49389,587,/document[1]/content[1]/section[4]/note[12]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Grpah,Graph,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-024,m49389,786,/document[1]/content[1]/section[9]/list[1]/item[6]/math[1]/tail(),source_mathematical_or_reference_issue,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,and the function is decreasing at each point in its range,and the function is decreasing on each continuity interval in its domain,correct the mathematical domain/continuity description upstream; helper target preserves the reported source claim,correction_observations.json
HP-A30-003-ISSUE-025,m49390,16,/document[1]/content[1]/section[1]/figure[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Trig Functinos,Trig Functions,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-026,m49390,509,/document[1]/content[1]/section[6]/section[1]/exercise[7]/solution[1]/para[1]/math[12]/tail(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,- ,,remove the unexplained trailing hyphen upstream; helper target preserves the source punctuation,correction_observations.json
HP-A30-003-ISSUE-027,m49390,585,/document[1]/content[1]/section[7]/section[1]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Maximums as -pi and pi,Maximums at -pi and pi,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-028,m49390,646,/document[1]/content[1]/section[7]/section[2]/exercise[16]/problem[1]/figure[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,consine,cosine,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-029,m49390,738,/document[1]/content[1]/section[8]/exercise[27]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,sinusodial,sinusoidal,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-030,m49393,18,/document[1]/content[1]/section[1]/para[3]/link[1]/tail(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,the first of these identifies,the first of these identities,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-031,m49393,233,/document[1]/content[1]/section[3]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,..,"Four rows and two columns. The table lists Pythagorean, even-odd, reciprocal, and quotient identities with their equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-032,m49396,58,/document[1]/content[1]/section[1]/example[1]/exercise[1]/solution[1]/list[1]/item[1]/para[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,We see that we to need to find,We see that we need to find,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-033,m49396,101,/document[1]/content[1]/section[2]/example[2]/exercise[1]/commentary[1]/para[1]/text(),source_mathematical_or_reference_issue,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,if we had chosen the left side to rewrite,if we had chosen the right side to rewrite,correct the internal left/right contradiction upstream; translate the intended reasoning,correction_observations.json
HP-A30-003-ISSUE-034,m49396,165,/document[1]/content[1]/section[4]/example[1]/exercise[1]/commentary[1]/para[1]/math[1]/mrow[1]/msup[1]/mtext[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,o,°,replace the letter o used as a degree mark in source MathML mtext; helper target preserves the reported source token,correction_observations.json
HP-A30-003-ISSUE-035,m49396,220,/document[1]/content[1]/section[4]/example[3]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,rad34. Rad 34,sqrt(34). The square root of 34,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-036,m49396,233,/document[1]/content[1]/section[5]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,..,"Three rows and two columns. The table lists double-angle, power-reducing, and half-angle formulas with their equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-037,m49397,102,/document[1]/content[1]/section[3]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,..,Two rows and two columns. The table lists product-to-sum and sum-to-product formulas with their equations.,replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-038,m49397,70,/document[1]/content[1]/section[2]/equation[2]/math[1]/mrow[1]/mtable[1]/mtr[2]/mtd[3]/mrow[1]/mtext[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Substitute for,Substitute u for,complete the missing substitution variable in source MathML mtext; helper target preserves the reported source equation annotation,correction_observations.json
HP-A30-003-ISSUE-039,m49397,71,/document[1]/content[1]/section[2]/equation[2]/math[1]/mrow[1]/mtable[1]/mtr[2]/mtd[3]/mrow[1]/mtext[2]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open, and , and v for ,complete the second missing substitution variable in source MathML mtext; helper target preserves the reported source equation annotation,correction_observations.json
HP-A30-003-ISSUE-040,m49397,112,/document[1]/content[1]/section[4]/list[1]/item[4]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,or products sine and cosine,as products of sines and cosines,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-041,m49397,145,/document[1]/content[1]/section[5]/section[4]/exercise[2]/solution[1]/para[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,It is and identity.,It is an identity.,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-042,m49398,16,/document[1]/content[1]/para[2]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,such as the finding the dimensions,such as finding the dimensions,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-043,m49398,102,/document[1]/content[1]/section[3]/para[1]/text(),source_mathematical_or_reference_issue,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Not all functions can be solved exactly,Not all equations can be solved exactly,correct the mathematical object upstream; Indonesian target renders the intended equation meaning,correction_observations.json
HP-A30-003-ISSUE-044,m49398,294,/document[1]/content[1]/section[7]/example[1]/exercise[1]/problem[1]/figure[1]/media[1]/@alt,source_accessibility_math_or_data,source_high_confidence_nonblocking,source_issue_preserved_nonblocking_owner_integration,23 feet,23 meters,correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,correction_observations.json
HP-A30-003-ISSUE-045,m49399,50,/document[1]/content[1]/section[1]/example[1]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,source_accessibility_math_or_data,source_high_confidence_nonblocking,source_issue_preserved_nonblocking_owner_integration,shifted it on the x-axis by pi/2,shifted it on the x-axis by pi/8,correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,correction_observations.json
HP-A30-003-ISSUE-046,m49399,122,/document[1]/content[1]/section[2]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,source_issue_preserved_nonblocking_owner_integration,"(i/2, 0)","(pi/2, 0)",correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,correction_observations.json
HP-A30-003-ISSUE-047,m49399,211,/document[1]/content[1]/section[3]/example[2]/exercise[1]/solution[1]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,source_issue_preserved_nonblocking_owner_integration,"(6 PM, 78 in, (6,8))","(6 PM, 78 in, (6,78))",correct upstream accessibility text and during owner integration; current helper target preserves the reported source value,correction_observations.json
HP-A30-003-ISSUE-048,m49399,284,/document[1]/content[1]/section[4]/section[1]/para[1]/term[1]/tail(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"spring, When",spring. When,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-049,m49399,459,/document[1]/content[1]/section[4]/section[3]/example[1]/exercise[1]/solution[1]/figure[2]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,bonding function,bounding function,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-050,m49399,471,/document[1]/content[1]/section[5]/table[1]/@summary,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,..,"Three rows and two columns. The table lists the standard sinusoidal equation, simple harmonic motion equations, and damped harmonic motion equations.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,correction_observations.json
